organization,ti_alias,old_teams_csv_id,active_team_id,active_source,latest_match_date,n_recent_maps_seen,roster_key,player_ids,player_names,roster_stable,confidence,note
Aurora Gaming,,9467224,9467224,proMatches,2026-07-15,61,124801257-126842529-256156323-301750126-320219866,124801257|301750126|126842529|256156323|320219866,Nightfall|Mikoto|Ws`|Mira|kaori,True,high,
BetBoom Team,BoomBoys,9131584,8255888,proMatches,2026-07-31,59,165564598-172099728-196878136-317880638-480412663,172099728|480412663|165564598|317880638|196878136,Kiritych~|gpk~|MieRo|Save-|Kataomi`,True,high,RE-RESOLVED id
Team Falcons,,9247354,9247354,proMatches,2026-07-31,51,100058342-10366616-183719386-25907144-898455820,10366616|100058342|898455820|183719386|25907144,Sneyking|skiter|Malr1ne|AMMAR_THE_F|Cr1t-,True,high,
Team Liquid,,2163,2163,proMatches,2026-07-31,50,152962063-16497807-201358612-77490514-97590558,16497807|97590558|201358612|77490514|152962063,tOfu|Ace ♠|Nisha|Boxi|m1CKe,True,high,
Tundra Esports,,8291895,8291895,proMatches,2026-05-18,11,136829091-331855530-346412363-86698277-93618577,86698277|346412363|136829091|93618577|331855530,33|Ari|Whitemon|bzm|Pure,True,high,
Xtreme Gaming,,8261500,10208071,proMatches,2026-07-31,3,101695162-129958758-173978074-898754153-94296097,898754153|173978074|129958758|101695162|94296097,Ame|NothingToSay|Xxs|fy|xNova,True,high,RE-RESOLVED id
Team Yandex,,9823272,9823272,proMatches,2026-07-19,42,103735745-171262902-312436974-56351509-93817671,171262902|312436974|56351509|93817671|103735745,医者watson`|CHIRA_JUNIOR|DM|Maladych|Saksa,True,high,
Team Resilience,,5017210,10207984,proMatches,2026-07-31,2,145957968-150961567-170896543-249835593-315272623,170896543|315272623|145957968|150961567|249835593,YSR-04E|Echozz|niu|planet|zzq,True,high,RE-RESOLVED id
Vici Gaming,,726228,726228,proMatches,2026-07-31,51,111114687-118134220-137129583-157475523-320252024,320252024|137129583|118134220|157475523|111114687,shiro|Xm|Bach|XinQ|y`,True,high,
LGD Gaming,,15,10150538,proMatches,2026-07-30,58,1026694469-105045291-177203952-292921272-81306398,177203952|1026694469|292921272|105045291|81306398,Yuma|TaiLung|Wisper|Thiolicor|KingJungles,True,high,RE-RESOLVED id
OG,,2586976,2586976,proMatches,2026-07-12,34,100594231-132309493-155494381-324277900-355168766,132309493|155494381|324277900|100594231|355168766,Raven|TIMS|Yopaj-|skem|Natsumi,True,high,
GamerLegion,,9964962,9964962,proMatches,2026-07-11,31,154974246-160119017-191362875-206642367-90423751,206642367|154974246|90423751|160119017|191362875,Ghost|RCY|Bignum|Fayde|Speeed,True,high,
Team Spirit,,7119388,7119388,proMatches,2026-07-16,54,106305042-218231587-302214028-321580662-847565596,321580662|847565596|106305042|218231587|302214028,Yatoro|rue|Larl|not_me|Collapse,True,high,
PARIVISION,Team Vision,9824702,9824702,proMatches,2026-07-19,30,1044002267-106573901-164199202-195108598-73401082,1044002267|195108598|106573901|164199202|73401082,Satanic|Noticed|No[o]ne-|9Class|Dukalis,True,high,
HULIGANI,,10149530,10149530,proMatches,2026-06-28,21,123787715-140251702-145065875-320017600-92487440,140251702|145065875|320017600|123787715|92487440,Mirage`雨|sayuw|ssnovv1|RESPECT|Corrupted,True,high,
Nigma Galaxy,,7554697,10136357,proMatches,2026-07-31,41,101356886-111620041-138880576-152168157-210053851,111620041|152168157|138880576|101356886|210053851,SumaiL-|OmaR|Davai|GH|lorenof,True,high,RE-RESOLVED id
