organization,source_team_id,maps_ge4of5,first_observed,last_observed,valid_from_evidenced,valid_to_evidenced,basis
Aurora Gaming,9467224,140,2026-03-01,2026-07-15,,,observed_matches
BetBoom Team,8255888,151,2026-03-07,2026-08-05,,,observed_matches
GamerLegion,9964962,99,2026-03-22,2026-08-03,,,observed_matches
HULIGANI,9303383,105,2026-03-12,2026-05-09,,,observed_matches
HULIGANI,10149530,21,2026-06-01,2026-06-28,,,observed_matches
HULIGANI,10182299,10,2026-07-07,2026-07-11,,,observed_matches
HULIGANI,10208009,6,2026-07-31,2026-08-01,,,observed_matches
LGD Gaming,9303484,51,2026-03-07,2026-04-24,,,observed_matches
LGD Gaming,10144195,14,2026-05-13,2026-05-17,,,observed_matches
LGD Gaming,10208068,11,2026-07-31,2026-08-03,,,observed_matches
LGD Gaming,10150538,62,2026-05-26,2026-08-03,,,observed_matches
Nigma Galaxy,10136357,30,2026-06-21,2026-08-02,,,observed_matches
OG,2586976,78,2026-03-07,2026-08-04,,,observed_matches
PARIVISION,9572001,116,2026-03-07,2026-06-25,,,observed_matches
PARIVISION,9824702,30,2026-05-26,2026-07-19,,,observed_matches
Team Falcons,9247354,118,2026-03-07,2026-08-05,,,observed_matches
Team Liquid,2163,138,2026-02-28,2026-08-05,,,observed_matches
Team Resilience,9316703,1,2026-04-08,2026-04-08,,,observed_matches
Team Resilience,5017210,29,2026-04-09,2026-06-18,,,observed_matches
Team Resilience,10207984,15,2026-07-31,2026-08-05,,,observed_matches
Team Spirit,7119388,102,2026-03-07,2026-07-16,,,observed_matches
Team Yandex,9823272,97,2026-03-07,2026-07-19,,,observed_matches
Tundra Esports,8291895,86,2026-02-28,2026-05-18,,,observed_matches
Tundra Esports,10150413,24,2026-05-19,2026-05-30,,,observed_matches
Tundra Esports,10182357,30,2026-07-07,2026-08-05,,,observed_matches
Vici Gaming,726228,128,2026-03-07,2026-08-04,,,observed_matches
Xtreme Gaming,8261500,114,2026-03-07,2026-07-14,,,observed_matches
Xtreme Gaming,10208071,8,2026-07-31,2026-08-03,,,observed_matches
