organization,account_id,player,position,fantasy_role,active,evidence,evidence_tier,retrieved_at,note
Aurora Gaming,124801257,Nightfall,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Aurora Gaming,301750126,Mikoto,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Aurora Gaming,126842529,Ws`,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Aurora Gaming,256156323,Mira,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Aurora Gaming,320219866,kaori,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
BetBoom Team,172099728,Kiritych~,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
BetBoom Team,480412663,gpk~,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
BetBoom Team,165564598,MieRo,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
BetBoom Team,317880638,Save-,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
BetBoom Team,196878136,Kataomi`,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
GamerLegion,206642367,Ghost,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
GamerLegion,154974246,RCY,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
GamerLegion,160119017,Fayde,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
GamerLegion,90423751,Bignum,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
GamerLegion,191362875,Speeed,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
HULIGANI,320017600,ssnovv1,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
HULIGANI,140251702,Mirage`雨,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
HULIGANI,92487440,Corrupted,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
HULIGANI,145065875,sayuw,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
HULIGANI,123787715,RESPECT,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
LGD Gaming,177203952,Yuma,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
LGD Gaming,94054712,Topson,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,roster change: replaces TaiLung
LGD Gaming,1026694469,TaiLung,2,mid,False,lgd-official-weibo+lgd-official-x+liquipedia-ti2026-participants,1,2026-08-09T05:20:00Z,replaced at position 2 (tournament-integrity-ban)
LGD Gaming,292921272,Wisper,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
LGD Gaming,105045291,Thiolicor,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
LGD Gaming,81306398,KingJungles,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Nigma Galaxy,111620041,SumaiL-,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Nigma Galaxy,210053851,lorenof,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Nigma Galaxy,138880576,Davai,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Nigma Galaxy,152168157,OmaR,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
Nigma Galaxy,101356886,GH,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
OG,355168766,Natsumi,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
OG,324277900,Yopaj-,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
OG,132309493,Raven,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
OG,155494381,TIMS,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
OG,100594231,skem,5,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
PARIVISION,1044002267,Satanic,1,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
PARIVISION,106573901,No[o]ne-,2,mid,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
PARIVISION,195108598,Noticed,3,core,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
PARIVISION,164199202,9Class,4,support,True,https://liquipedia.net/dota2/The_International/2026 (Participants),2,2026-08-10T19:01:33+00:00,
