leagueid,league_name,start,end,cutoff_ts,cutoff,n_target,n_train_universe
19696,DreamLeague Season 29,2026-05-17,2026-05-24,1779020103,2026-05-17,62,5892
19101,BLAST SLAM VII,2026-05-26,2026-06-07,1779782231,2026-05-26,102,6570
19699,Road To EWC 2026 Regional Qualifiers,2026-05-31,2026-06-04,1780221637,2026-05-31,19,6967
19893,The International 2026 - Regional Qualifier China,2026-06-15,2026-06-18,1781505350,2026-06-15,18,7726
19891,The International 2026 - Regional Qualifier South America,2026-06-16,2026-06-19,1781638351,2026-06-16,10,7767
19894,The International 2026 - Regional Qualifier Southeast Asia,2026-06-20,2026-06-23,1781949658,2026-06-20,11,7823
19892,The International 2026 - Regional Qualifier Europe,2026-06-21,2026-06-28,1782028936,2026-06-21,35,7831
19890,The International 2026 - Regional Qualifier North America,2026-06-24,2026-06-27,1782344101,2026-06-24,7,7890
19785,Esports World Cup 2026,2026-07-07,2026-07-19,1783416279,2026-07-07,142,8174
20009,1win Essence II,2026-07-30,2026-08-05,1785402206,2026-07-30,60,8469
19917,The Games of the Future 2026,2026-07-31,2026-08-05,1785486760,2026-07-31,39,8498
