organization,status,role,outgoing_player,outgoing_account_id,incoming_player,incoming_account_id,reason_category,eligibility,announced_utc,effective_status,evidence_tier,source,retrieved_at,note
Aurora Gaming,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-08-05,2026-08-10,five matches inputs/canonical_identity.csv
BetBoom Team,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-08-05,2026-08-10,competes as BoomBoys; org entity unchanged
GamerLegion,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-08-03,2026-08-10,five matches inputs/canonical_identity.csv
HULIGANI,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-08-01,2026-08-10,position-3 listed as Corrupted (alias Vazya); one player one alias
LGD Gaming,CHANGED,2,TaiLung,1026694469,Topson,94054712,tournament-integrity-ban,outgoing-banned-incoming-eligible,2026-08-09T05:20:00Z,active,1,lgd-official-weibo+lgd-official-x+liquipedia-ti2026-participants,2026-08-10,TaiLung banned from TI2026 and all future PGL events (announced 2026-08-08T18:11Z); Topson joined as position 2. Announcement times converted from the club posts in UTC+8; Liquipedia dates the join post 2026-08-10. Topson account id cross-checked on Liquipedia playerid and the OpenDota player/proPlayers records; two unrelated accounts also use the nickname.
Nigma Galaxy,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-08-02,2026-08-10,five matches inputs/canonical_identity.csv
OG,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-08-04,2026-08-10,five matches inputs/canonical_identity.csv
PARIVISION,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-07-19,2026-08-10,competes as TEAM VISION (feed team id 9572001); roster unchanged
Team Falcons,CONFIRMED,,,,,,none,eligible,,unchanged,1,league-feed-registration+observed-five-2026-08-05,2026-08-10,roster re-observed from the 2026-08-05 official match
Team Liquid,CONFIRMED,,,,,,none,eligible,,unchanged,1,observed-five-2026-08-05+liquipedia-ti2026-participants,2026-08-10,source conflict RESOLVED: a TI2026 team page listing Miracle! at position 2 is contradicted by the observed five of the 2026-08-05 official match (Nisha) and by the Liquipedia participant table; no stand-in was announced. Page data error; no model change.
Team Resilience,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-08-05,2026-08-10,position-1 listed as YSR-04E; some press lists the same player as Erika
Team Spirit,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-07-16,2026-08-10,five matches inputs/canonical_identity.csv
Team Yandex,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-07-19,2026-08-10,position-5 Malady is the Maladych alias
Tundra Esports,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-08-05,2026-08-10,roster transferred to 1w Team 2026-06-01 and competes as Iron Wing (feed team id 10150413); five players unchanged since the transfer
Vici Gaming,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-08-04,2026-08-10,five matches inputs/canonical_identity.csv
Xtreme Gaming,CONFIRMED,,,,,,none,eligible,,unchanged,2,liquipedia-ti2026-participants+observed-five-2026-08-03,2026-08-10,five matches inputs/canonical_identity.csv
