team,ti_alias,qualification,region,opendota_team_id,opendota_name,notes
Aurora Gaming,,invite,EEU,9467224,Aurora Gaming,61 recent maps
BetBoom Team,BoomBoys,invite,EEU,8255888,BetBoom Team,RE-RESOLVED from 9131584; 59 maps
Team Falcons,,invite,WEU,9247354,Team Falcons,TI2025 champion; 51 maps
Team Liquid,,invite,WEU,2163,Team Liquid,51 maps (id has 14y history; use recent window)
Tundra Esports,,invite,WEU,8291895,Tundra Esports,inactive since 2026-05 (thin/stale form)
Xtreme Gaming,,invite,CN,10208071,Xtreme Gaming,RE-RESOLVED from 8261500; new superteam id only 3 maps
Team Yandex,,invite,EEU,9823272,Team Yandex,42 maps
Team Resilience,,qualifier,CN,10207984,Team Resilience,RE-RESOLVED from 5017210; only 2 maps (new)
Vici Gaming,,qualifier,CN,726228,Vici Gaming,51 maps (id has long history; recent window)
LGD Gaming,,qualifier,SA,10150538,LGD Gaming,RE-RESOLVED from 15 (ancient id); SA roster; 58 maps
OG,,qualifier,SEA,2586976,OG,34 maps
GamerLegion,,qualifier,NA,9964962,GamerLegion,31 maps
Team Spirit,,qualifier,EU,7119388,Team Spirit,54 maps
PARIVISION,Team Vision,qualifier,EU,9824702,PARIVISION,30 maps (borderline thin)
HULIGANI,,qualifier,EU,10149530,HULIGANI,21 maps (new org; thin)
Nigma Galaxy,,qualifier,EU,10136357,Nigma Galaxy,RE-RESOLVED from 7554697; 41 maps
